user_id,account_age_days,total_reviews
CrInIRBSZA7HERD_ZzZSdw,2062,63
AeK4xAxubSGwqo7iUBgXMg,2802,67
ITf8PiWzmTzcZu3kRWEoGg,1793,124
e50i-ism0QqP2qisUCfnKg,1448,11
b9ncqgPDrh9pZQ3n-IfW7Q,1267,17
KBVL9aPlcLVwqyFQ__EeIA,2661,92
hTK3zyyPzyMgJ0_3hgFIzQ,2893,5
qNqKM2bZFopxOgj5KFmpTQ,2984,27
yMR00Vkq46IBebHjtDoygQ,3425,100
zvoKQvcCsnJeC7ZRKrsWPA,3023,197
f_99qFbcLJQgJ9Q5O60aRA,3242,239
Yi5KGA-QvolRWNeDfzEKrw,2789,72
3kj0naj7ACPcVdpnygFLEQ,1424,12
5xGC7DQV5wOyrv0r__u-oQ,927,7
yQN0tGkqhi0Ch0Hqdj2XSg,1686,59
1TWW5BuX22VGK1KecATxeQ,1569,6
AU7u9BC31idClMQK0xHXXQ,1799,10
URtj8ftRfb-F9vgOk2th1A,2063,34
wI795B7EQTjkSL1eiYpMhw,3125,449
Bzq1tZI3SMsewc2FerFcOA,2637,229
dIIKEfOgo0KqUfGQvGikPg,4162,1768
7DCwwpe524F2AqZqTUGExg,2014,116
zfD3xhVNkGJs-AOOSslqtQ,3325,642
1yEGaYQ1x4qDN8hDZ59Tkw,1805,25
mA3tALTzmDunDRctGEu-wA,1333,60
7M-rWYRGPfCDnb7tjl7QGQ,2711,259
6RLyY84jqZW_0VMcse4qdQ,723,1
qQRmnbKI84Up4a2MBFfaFg,2000,244
1PesLMAdY2soq2zD_3rAYw,2003,246
8SVOBWdAtEdZ23y-AkOUQQ,1320,99
Xxvz5g67eaCr3emnkY5M6w,4025,1952
ilr5hbxy0-5hLWxQwj0W8w,1457,69
qBi56_wwlaIuOMm8LIBWTQ,2423,16
4Gbq5r5Xp34ofXl8K-8QPw,2854,32
4m9NXICYBC5i9t4aTt-I6w,2669,1020
RylA6VZUTRuMGBu4nHKbCw,3508,869
nNbWe5bp7ecsXHJfjowbKw,3754,64
WFY2F6xJH_tPLpY0CUsUmA,2328,52
8EPHywVzuKnevp2zAzbMug,2041,108
WH8x23LEwoLMCYufrrOQuQ,2390,19
nb_Z66wU7vGlO7MDNlAAVg,4586,194
g_fjQPv10hPoHePHlMMk2A,1029,5
Digti7amgg3PLWQ8K1dNrw,2201,27
CxDOIDnH8gp9KXzpBHJYXw,3340,5778
sBQnwE7tTiURm6RKamqWyA,1601,136
RFXcKWIaGsqFWK6WJbkl4g,2999,253
NfU0zDaTMEQ4-X9dbQWd9A,3086,868
9OWTd6yVLO-MpU09olm40Q,1816,22
mPjPyipaD0C_myqWqDipZg,2632,27
B7AjB8W2BWJtXPjweJs9pw,3109,321
mWBZmoWDKSsb9TAiNsTXoA,1153,117
JAC4-1BCS92KZIqGIoS7xg,2208,8
NkYR1Ejn4nQ1Mm5zwZYIPw,1237,8
_Dtfsu1ab3SCXhpfmG78tw,1376,11
gqYegYGd-N4TLUile0CS8g,1640,10
WLHlDjs3HZKrqjdmW-3XkQ,1271,23
ZGo1CHPVwLXdEVzwa0KCkw,1182,20
wRzcrtxZj7MfzQnxrsqqfg,3474,83
NTtgQrb8VGr_xKePhppqjA,2607,221
H_-K6erSJYtzg3ZEvOg3EQ,3605,580
IYJQXv-KtGjxO6ehyET0LQ,3238,207
WL_U3MBUfTkeHL9lYxoleg,3591,299
cB38Ga5dBf22knWciqLt_g,2112,15
QyScH8Ef-7RosWQch4Ikcg,2850,161
rO4GSNa2nz3jn7HMf1DgsA,2987,52
_JRXYBCB9CAHLyqQiSd2Iw,2545,21
y3OmMymE57BiHa03yjaxCQ,3133,124
p9zfZnJ9iIsbIA19hvHpxw,3014,86
_ireXTpAJwUchkC71J-qoQ,3191,268
araK6VbPhskhY8a03BGvAw,3115,1
w2TXbBftSVvF9kKrOAng_w,2151,7
8V_bVL_zkMo_SlCh93040g,2880,25
btXPi4-4eEx1zSzw9USuGw,1389,25
oZyiiNdA-I5zk_EHUmGRMQ,2944,119
iOewtls8v56h3r07-wrtxw,1614,25
ngoUHTjO5JedUPBSCiGwww,2838,88
4tZ_YZRFfEgs6ACCXhvjzg,2770,12
aYwuYu8yYhZu6n7j594hug,3074,59
hhjgIlaWYQqZnJTeAsSpXg,1760,6
gRmVx4vwLGdJP0pZuJX4uw,2803,19
243VUTbQBl8ozvZC3fV0zg,1379,110
7Jt3EZxH5v1TUUygtyqPSw,2224,7
Sxjc78bgN4xMrIkzvnrUjw,3065,19
U_fwLsdR88GgbIsf5PAaOw,3267,36
56Vv2GfzASZcNdDM8abZgA,2645,3
FkAQEMFYempRF7H1VjdsOg,2767,2
6Y7wCznF1AfBfuAe9UqccA,2146,96
GqkeZSWzm3o0ISt0a3wgQw,979,6
W4fQ5Eay71kAUW0cTMjehw,1584,13
Bye8Wgs-fJSURcMoIjRvFg,1463,41
9N6JTKSiK46to_-PVQgJ9g,1705,6
OetxJUS-vi2SQ_Comn_WxQ,3046,4
q-_GUb4oPzyfz80nLOc9Cg,1820,6
lDEHkibIukRKta76AYeyew,1423,20
ANRxx7hKxoB5ErCvu_wUIg,3413,5
fD8IVgrkQcsIrRSMfmKtFg,2480,15
tw7_aY4HBOizJqhA0gZw3w,1277,1
C2LcYA2P_o41h7ILngVVZw,2583,1
CmhAQu-L097T9CJ4S-UYAg,2373,14
ZSiDM8cED024fmmOmL27EA,1642,6
YUROxan3hHbfWm4jTd3smA,2710,43
u_NffJ8SHpIF6sZJyg9HSA,1234,18
IFr2jnV1X3iUBmaG1nhuNA,2083,15
1CdL5sNaLI3D4ILzvYedWw,1291,20
fSWkvv43T2NTGS6fgejoNA,2726,118
U_WXZ6PeTNbZLv68WdK9eA,1225,7
aYrvn_5tR3U-4ZhpH-CD0A,2109,34
CnfpvMJshjeDVlRl0Kgj4A,2675,33
kHq96Sj0z-jg-QiiKYsUHg,2192,5
mEDn833IEhIbslkq_FyxJg,2959,43
Y6lnGHeeSoJCeg9HSmGXjw,1493,22
83zQAHCvZGYgm8bjQoJ5wg,1619,348
rTcnkbALOmr7LOaTzJ1D6g,2508,23
grK9V8BM5csZg8dMYyjJVw,1245,57
PoSp_xk51Ybxo1y2NXUMtg,2558,13
6ChF8UnxFaW2Aoj3CJO_4A,2768,36
SJdZ69X58sKfbxxdp0cE5A,1603,5
pQZ7AVjaIHtwS4X3yhjBGQ,2030,22
svQK71FNn4ZNS-1ASs5XYA,983,5
QQtoHnP0cP7nzNnUob_1CQ,3333,611
uWhC9eof98zPkvsalgaqJw,1811,2094
CP-NXrlvfw3ndwvjfwIY0w,1545,67
pbzeNgmK2qPhkZQ-M-7iCQ,1436,388
5MCBLBxr10NLUKZ4AboAMg,4499,2754
tQV_zGWjSHxUEr6Xmxz88Q,3057,148
nF2TR0yfB2tx3VzAMvdlgQ,3066,467
2XqvR5GxhIrmcBV4EnmVtw,4671,65
M_qwexE6ciWB4tJ_T1S6hQ,929,55
6ZqRM7yTJpFfkkQ8Rm5kww,3437,408
Wu0yySWcHQ5tZ_59HNiamg,3199,1077
L9ZJpCQgXzfNXiJI9ahyZw,3223,858
far9qchg25NqfxAX6YaCSA,2608,92
w-w-k-QXosIKQ8HQVwU6IQ,3581,2729
faaOI6hU64h6SSaF0f11eg,3669,751
Hc2tC2TDMD1wDjp8aCq7jA,3309,116
3R3wbFhMhT-wVVtuOttHMw,2763,230
ZAvOJe6YZ6ap8gCgBPh4Rg,2736,16
3C2BxKTAGLNUpnzZ51CxfQ,1888,9
RkJoJ5DtxFPWpcwiiOmBRQ,3411,41
X4jrIs4KK8T06j4IkQqcIw,2784,25
DxsZCsQXTN7vcVUwtGlN9g,2602,408
iFGUVhypIzWNZfNeLH7itg,2889,153
JZRKusMq93Ltsz6PQ08DOQ,1564,9
JBu7n5pIW-Y4XHtzGtUgoA,2837,59
-HLE-x7Lpkfprd6er-JFGg,4697,136
3tFW6x0PaEIiokZTjKAVqw,3312,46
tQz_0FZrxlulgz5X_prthg,2490,32
RvdNqhsUz0fa0zK60g9VDg,1617,17
4zfVVhUYBmi_5JD4CDaj0A,1672,80
ZUsS5CjWh4YrPVi4Hi3Y6Q,2592,141
TPDTu3KAJ-RCbHiaraBeDg,2894,13
3Hud9hTH36DB5MeDOihjnA,858,14
diG2NOOfioszmxg8wSHBHg,2994,37
duymKKwUruH8GwbvcaFd0w,4909,1117
MGBv4e-Z6lfyUcSVwPXQPA,2406,46
s_WC97T4fwpgEADYkGeS-w,3055,26
vtv4AZtMBxOdUtY8zTvkdQ,2794,281
dqfCjksa09IAWvnUObGhPQ,2226,155
nqA8zJXhEVWCMi_yC1Z8Dw,3290,84
JyzLjUFEIW3epNlHI6Oa6Q,3718,538
o68A_3bAJTge-ioGXHdxKA,3858,491
WkG9phTuWbhAC0z4354mrg,2660,122
hjcOqlZLCvOQvwMdLsiOcw,4008,244
AxUmbVeOOSPUOvwXq2DvRQ,1530,112
unlh4GPv09TPIPYicu1iJw,3339,49
El4Hgp615lAyGOTkjKfBoQ,2428,64
P58V5U9wdNMpRDZDWVCOfg,1954,15
uO21Oi5nmXCeEQJOm28lQA,1737,63
v064NNb0OhOQeIu-XFIzgg,2626,17
fQWkg1r-JU0jDWP01xEcpg,2552,9
8I6tUqUTi4xL9j3FuwgjIQ,3526,125
DZ44749Faw9RT9NbgHYz8A,2950,55
w8q1hum7FsGb6hb9T_2j2g,3727,802
DeXKbQYNx52OlOizobOLJw,1641,422
sM-eevGF9YOtgVSLGZiRzA,4259,238
GLwWb3bnjicMZxuJwSQLiQ,1829,40
AlhCsZXsJ-Wk2qH-uSTmOQ,2120,53
OPN-dDUBkH7uH-G8nOnskg,4086,531
pUMR_0CHYMrWdEMwpDmaQg,3090,6
hYBa2DvaRSAuI6Xm9q4I-A,2617,28
kxj7TPtJY2zbEjGV0PYfAA,3802,1300
fUSZ6lW0-l7ECC90Lhj5fA,2804,5
qb6-AFUxq6VuatEIwX8qHw,3354,20
MmlJSLDg-IFaeXb5wdJbgg,2622,91
aET30aMEQQLWz1oNGd-DBQ,1960,31
m0Lo60hQAkZC8rUrx5do4w,2828,729
UJw9u-mcaAfBwLWjPG3cRg,1803,23
xUxXl1wxsnTtzjhM8hnM1w,2060,120
YTuksHb6YsMI62BqEG_eRA,1422,236
5daHu02u5o04mm4E7cHm5g,2912,115
Hd2eiFDBPThsobqXdRL6oA,3590,34
nBj9Ee9J1WHr4ELTuwD8yw,4144,5
e-bqL8cIPF6f7s6UsokjbA,1384,56
Vkk8YfesfF2aAehFb5SlSA,4053,695
zLfLGCBArA6jZd36leNnFg,2640,42
z72G0C2kq0vP1vVX_EU2UQ,2949,711
CTl0VeGdRuYC-SQjL6dyFA,3990,54
8WDkuOJwkod2LM2QYSIrWg,2078,323
Gv7Cmnkyv2v8kTMD8clMww,2724,153
Sc-oweS1F7yXTaf6Gd1_SQ,1267,29
DPtOaWemjBPvFiZJBi0m8A,2943,286
eOFCBU-PUTEX5UC4dQxCqg,2421,62
mWF_r-7Wi0jnPVTGp6steg,2793,5
NtjYwqmLBo29bmfRmoLHmw,3887,70
AXBsPgSbyjGkAqPLSwiTYg,1905,286
B05gFd26mFIbU0np7Nl2pg,2218,40
cfTxSW4NRROkdZMiwqRhaA,1318,91
8W8LDl9XHwpNE4Izsx3TpQ,2690,69
djXzQSkIoDGP-IdycN2zjg,2716,2
KlVly5IFaq4Q3FRxrxMN1g,3811,491
rSsbCUYJpw0mkqZ-Hwlj3Q,1656,230
uDwnuU_ZccDOJyI5AzjLQQ,3607,166
_fpHwIiEJOp79qED9YSE7Q,2702,229
OUEGiNw-bZcsvCfmfFCg_A,2822,158
qnbh2dQj-RaICIk-nr-B_A,3426,250
PEjS7EYRg1cfHyx3r-w0qg,904,109
KloWGEOPweXiqyhcg1ulKA,2188,94
H_09-Wr5JcN5hpp5RnSLTA,1975,191
G5reVMkdwUc-souSaLdm_Q,3159,43
Bo3heX2kbUCAemUyV4BLqg,2101,15
lBf5LelVfhc413gczJkNDQ,4561,39
qOODN0RsLbNQaLPN3srixQ,3180,804
ysCBsXWPB-LAiewVS3jZfQ,4437,3159
xWR-GSPPlt7taGuM1vk_0g,2833,94
jo63sPDGfUOjJNUiNE5i2A,3978,310
qiz4Ri_cMSsoH3ccN19eAw,2695,183
2ZZNOoMQ7WFvFoxDUFw1wg,3809,320
cSgXFN_Xqtlbj_zA65gPaw,1574,11
bWoIe5ehjIxOMeElNzXShQ,2909,178
5wacStFUC1RoQ3rNLf2-xA,1578,51
rK2aGPWEU7UVwz_fqKE8mA,3078,191
dWJg55FxAyvSSZ3AQhPDvg,2752,5
MPGqUhAsmVEHq9k9X6VZKw,3894,446
JPeToWUwXEiwQGPSgNgB5w,2371,143
tm4qINQC61avNv53khiOXA,2739,4
CoNKnZbxBaXp0oXGdEgwkQ,1286,3
SaSXRzjHx3SMTNnW90PetA,1959,314
TdbTpjfhOUeTCVBX9evLkw,2106,229
oQcYUZpK_SXGByezITnimQ,2325,33
voXU5A3FfOcXZ2VNsJ0q4w,3229,129
AisEChupdLdqptU_QT1-tQ,1262,66
1G-IHtBgRsuwn1Ysr5hnwg,2760,15
q1N0Z9oljcrhpEnXIO3fLA,1619,45
BUeqfrO3j65uzd9RxC6gbw,1785,473
Fuzb6l_uQvlcb0ctNc-s-Q,2248,24
1QABw9xW72L-3EkGmIllaQ,1752,115
tb7q_TIKu_pha2UFyneMmA,2912,361
FsGjL_GNpzhvSCQ3DJiHpA,3102,88
u8GYSTxYLHlPDEM0rL-wZQ,1113,4
YNkbvkPhLMFlOFYH2PLMwA,3610,282
Ozk5VXvLLhjSrQ5hV8MjFQ,1994,295
qGDIsH6b4GTo37krG8ZfzQ,3237,459
yn4Lhb8NMm9-cDNmN9p34A,3423,195
ItNnrZSyJxsxQhkGJ_kqUw,2799,15
OP1jgh0eoc6taMwCwwTN4Q,3598,71
W7ZFD8xThjOX7_O0FDH5kA,2791,277
tKcIXdrTFFOPrl2Ob83P3g,3798,120
6-RXoqxa9L3FfBwkPLrtbw,2006,29
XhyK4GaKHh3dzSeHfsfsvQ,1238,4
I9Gug5E1yElSQXDX1MsqEw,3269,16
71YGGOOf4gDlX0O2lAzrzA,2889,27
xRHSDXoLsmkZuhjwDihJ5g,3233,115
9iPgLp8cx4UXf5BAY2uwBw,3092,7
MI7TjNlOSHsPbf69VTqrOA,3234,172
T76-jKiHe5Fz5qTjQQlWoA,3711,309
XWXHE-0VRDzQIdEeMsY56Q,3916,157
Rs-HbyVraRCP2X4ey1t-IQ,4000,239
SCSV8lHxXkS8fdeJTqnomw,2809,93
OZWskTOKCWvYejhu63gFmQ,2516,235
IpReaQYuXO_nB07xnkHuNw,3024,687
P9juBjTdlzDlrxb6uMqSug,3273,59
DZO2lmlHi41X19g9U44I1w,3451,876
SsH9zQtl01SABH6QGsnu3w,2982,430
WI9c4NmfA4RoknEufaMdIw,4004,273
OThr0jXDuoS4onOCiq_ahg,3087,34
y4gIlUBQNlOWImitDLfyRA,3538,51
ouI1xciHLEMSriQUK95nlQ,3015,171
0_Cfb4ZEG2mQY9C2ACHnbA,2505,40
6QiFhOdiaJEB-qVrrSALgA,2343,306
mLDC0DjkT2IJkoppBze4eA,2887,107
hIylKBbS9u9Ppn64534yfQ,2841,70
BYHm-dCBHRtiUDgOfFgLhw,2653,338
tNy6TYGSOEgtFxYPKM-jrw,1334,4
0TWqlGuQYMwgpiNCi5we2w,2994,243
sM1_Yqd9L28H4-wRHw7YDw,1978,9
urHUfrgvs60ZT5c7fqVZ0Q,2422,8
1N8U9DyE87FMX1glQS4qnw,2493,9
My1-ZSq-FrdxkjmJCcVSfw,3703,162
J7oTKiFKFvTDFrmCpgOv5g,3242,23
5RLOLqj8f0MMJ5OJVXTeYQ,1704,51
TMRNXcw08dsbUGGbVgkqzQ,1185,2
T7Nhxux5ao3Bk7ItFhpuig,2556,116
lCXKbSVJYJpUVpZlG4FZIg,2572,745
KcFxhQFcVlr4urPTsJAVXw,2301,211
e2rzWXUymjIUnGG_kgY3ug,3109,25
7zhbYOPp--pNOqTYXGuyIQ,3929,20
hFgY9So6qsPOE7fK2noGHA,4299,49
P-ImWYCmCtBOn8WpFX5eew,3809,9
IgPDOSRmOl_l1_37f13E-A,3068,20
2TcPEaJYIiG9hdmb3DGqZQ,3804,16
X-JepHJb5-KgBwSWDXtN6Q,3020,12
qEVzzrg5tjnmZlYmSFTCSg,1730,65
a9m3FLUiZ3PcAY35yVP_ng,3791,62
G-_KF_Ul4d3WGEa-G0Iq4g,3907,1004
gby4gdTt11vz5jQz5OaDoA,3654,705
LYBSlu_TNQB3AdRhw0I58Q,2587,83
NQ-nu-rFhthtJO__tKdZbw,2513,46
Rk3KKBmL7coOI3qEs5JzlA,2844,33
OofIjAhnuKJ_o9KoNrs7yw,2328,17
PzNcdJaz0ld6TaTD43S4cw,2009,37
4wp4XI9AxKNqJima-xahlg,2918,1053
MLf4JUa1uzQkDLrBJ5yJHA,2313,234
_Zu6oD6OgOKR8H6sJrsH3A,2222,88
hC84EIj6uPIkTKNjTnMx7g,1849,129
a_YK0bJ5cPoOKH57GzGROw,3250,102
5QFws6LKMCZCgKHl8WR1jQ,2840,464
mRcD_ZPzsggX6J9XJn2JhQ,2556,56
cp-rWPVqlGyuroPKoBefYQ,2310,316
SgiORk6xC9OxIhzrGcPv1g,2498,46
53SsiacxmHO1CBBUGyQCaQ,1612,41
M6v37Q3fCL0rxUXT-pNvFQ,3857,20
_YkzpKm4TAUfx8vckSTDgA,4273,99
l6CltLUsYG237Npad2uowg,3494,95
R-zu0RJuLft5-f5Crvv_Zw,3512,71
uHpl6vRuuu2hIg6orTrWYw,2599,32
CYTpi63Tv_UTjsaTMCZUvg,2391,256
Hk1ToxGyGpZpQbgIuSUgGg,3586,23
laaK9HfZzwSvyHDJIzjB-w,2116,8
2oTG2GrBpikkonRxQywI7Q,1811,417
bWh4k_cCuVt5GLVd33xIxg,3707,41
4R4WP7Vb5wU2y3SGVWMUqg,1915,144
u18Zj83sQ05oKotJd2Ujig,2471,5
naVij3S3X9X-ExwFNszZGA,1535,28
fcGZ6yigN3byP4fln2AHEQ,2898,28
PBfrnY_vb-RwNry7wjqXoA,2670,4
e3fdrK1tMCwWLr76LFe-cA,1858,99
RVagGrcHdy1HB7-_c9ywZQ,3075,102
Psa1UCn_F5PQAqWwQnaZqw,4472,26
91p9yCg3QqxhXUvJlwDsag,3352,96
TBihDgU1iEQ7-qSl3L5yjg,1591,8
5sH6Rcahm4R0CdXfSIdOOA,2719,146
ymgPMjIYBhFoNoM8Q7wsMA,2698,62
Fl_LHNaGfb2_znvsJDdPCw,3037,19
gTNJye4cSFmYfdBQAwcTTg,2906,194
Ozp9AQ9EOaw3ZQnVE6TDFA,2615,117
Ry2eEdDFbB3jCd-puLq0bg,2121,985
ol41034oA4J6R-IpokhxIw,1389,127
1HjIRmoTBTeVV7cAVmBTdg,1860,13
3T1uD5CoMNqjdUAEFB0Y6Q,2544,19
Z0sXnwF1eZWONpRzMedOEQ,1523,156
mJS_GfRQ9NZvo1XRiV5pcQ,1301,2
AM_ZYtCR1fvSeS6wwh-FaQ,1213,16
Vcm8XxD6clFOlRVh31nnhA,1410,12
zpu3KWTBuZLqyy_Gb0z-8g,3709,71
XF4QVTTq5NpzOyhGzvJlEA,3109,108
1YQfC3zpH2Eyu8WT9Zb4jA,3753,12
a1x5xhZ2zpBdOfqtH9x-Kg,3769,84
56PMGk12KYLJWPt7ejg-XA,1493,20
IhmBr-yHC8xLjdnoq7O37w,3933,1960
O3DwB3K_SwP_9hrrdnQdHg,3382,29
25QzG8_MT4zr4JiglZI8dQ,3885,317
Pe5eoZvuQYif9-jPfrFSTQ,1411,44
wat2TtMMeJZN5YFavnbgmg,3827,550
NIJWrUAz7-9IEqwZnGBT9g,1645,135
BgI4-bHddSlRkp7UbJkMaw,2114,3
8ye6-7YYMsp0YizCLyrxcA,1114,111
oZ9wTJLI9GxQEtvp2OQoxg,3469,186
uOG7Yc8TztArNfnC3iBPxg,2081,19
51munej7rdZuB7KfPofhaA,2415,338
N5E3KDv9O5lsHfG7f8YvHg,2944,30
Jg9fKTfrDwq3jktc6A83sA,1527,3
hWDybu_KvYLSdEFzGrniTw,3586,7818
jHX2qMpRIg-W32vJgi50lw,3966,193
D0_EDhZvO5z3UEPszmxiYg,2889,162
w-7hE0p_VZ4TsQzIIOUFKA,1473,240
1evn3hdX3gR0EMJwRQ1wQA,2127,10
2rIHr_3qznLHn73YfOwkWA,2298,15
qibGLHABNReGeJr2w4_8yQ,3967,1123
jO44Apni7iJZVVK4HQ60tA,3719,187
NNL1zLTP2J_SOputgoPYeQ,2865,1151
U4INQZOPSUaj8hMjLlZ3KA,3988,3862
AkH0edUmxPnieWabfJQIBA,3785,283
PrwnAL82LL4Ewt_wJpHWCA,3361,553
PpBzb-w7JlSuML_-GpORcw,3566,156
AhEC08e19X-QCX3-7nHs3Q,1930,27
vf7YS2TaBur-IJ8gUI0mjQ,3335,58
eRo4NGjBh71EJZZ0wMCniA,2725,13
eSuRa9ZX2heqJudcZksSMQ,3811,28
C5mb__l80YLwCGO3vjNP_Q,1903,114
9pWzE9Eymj-s6WHAmLxlRg,2348,13
eBnedff2L15dAxfD_btx-Q,2828,155
4svKxhnRwZSuzHCZegs8Ww,3056,98
loOoIBFpGbkx8WaIpQndiA,2948,243
IM0INCfvTNg9k3RbFyM0vA,1632,24
H4W1CyyrU3Ru3rcSMkCG7g,4105,353
kroQYWSj-BhIEXT4VwLRHA,3766,1507
42P_hSlGg0Lgj6wl9-eDjw,3682,254
ROZxOt9-WNdLDECasINlfw,1595,3
DYqujEDnSMgwL7sFTRSv8w,1126,351
LMMuQToqhIjJko7DVa39XQ,1237,10
Xvhu0rfngzfmxM3WBoZauw,1975,19
WhMRlxkMkv7Kf2YQWCHqjA,2652,35
j9vih1KD2r-NLlaHfZPkRA,2730,243
kpfcpXXWwVGyOVRw5Ftwdw,2474,14
m3fHWGcoY1sKX19Uk0nsyA,681,1
sfp6PhgbQnemfeZTqfuajA,4456,530
m4XwHHYvwdYYNauoSjVfQw,1498,36
V9ckx_o1ZsZzSyeh6BxNOw,1345,2
s1hZZMkaWCql09X-cGUQEQ,2912,220
Ht8iGitRu8kynEubcIhsTQ,3515,692
BSddbsOi3PCrUbmnJIdXGw,4635,3
94vzW2UBX9YXAvCWd19WMg,3103,39
tJiWkQtxSmr4UdfEp-EYHA,1148,55
Z3qh6Jdfrjtcynvp6Z0_ug,3634,197
jSdiPiaO_FI9Ic3raKbU1g,2367,560
oBhQMjrT0zdSLdlybWRA_w,4011,1188
eZZyuJDouIg4p-GYB3PV_A,3384,515
YXXQRFICj2BPGPvG2EHsEg,1663,82
PKZLwAGgBtQCjJtGhyPETA,2584,102
zATgdMp_5gL4kYPu7aVdUg,2229,767
1BWCs7aXDg-EiLmv-U3qtw,1701,49
6NFCzeW5MLLkw9k4ogIpGQ,2660,42
nldp0chdyawDDpdJZCogzQ,2890,61
YLapNxdlNtq7xwi5RHmJ6A,2249,23
NVPhaPAyu04dsjVUhJMOnw,1718,18
