restaurant_id,restaurant_name,city,cuisine,total_reviews,new_acct_component,spike_component,velocity_component,diversity_component,fraud_risk_score
X1v2lPPXgJGaIufxJHvZCA,Ha Ahn Korean Restaurant,Cleveland,Japanese,97,0.0,100.0,2.0,0.0,30.4
XM2qN3PiQbfSYo6zmHgSlQ,Gillespie's Map Room,Cleveland,Pizza,118,0.0,100.0,2.2,0.0,30.4
zjygAC4qLf91b3KOdHQT-w,La Cave du Vin,Cleveland,Other,150,0.0,100.0,2.2,0.0,30.4
ZUvAR3I1uhC27zQFcRXumw,Dina's Pizza & Pub,Cleveland,Burgers,85,0.0,100.0,2.0,0.0,30.4
_5inlOVvlrCOKcI772RqJQ,Benihana,Cleveland,Japanese,77,0.0,100.0,1.5,0.0,30.3
-kTHAUKuzh7cFZjVAW55Ug,Chipotle Mexican Grill,Cleveland,Mexican,35,0.0,100.0,1.4,0.0,30.3
0xUKfmnzPSl8HQz-K_-0Ew,Phoenix Coffee,Cleveland,Other,96,0.0,100.0,1.3,0.0,30.3
4IdcT63iE5fNrVzayZtKEw,Valentino's Pizza,Cleveland,Pizza,74,0.0,100.0,1.3,0.0,30.3
4xnVH2jTVwrsO88q_jHWWw,pizzaBOGO,Cleveland,Pizza,62,0.0,100.0,1.5,0.0,30.3
e7207sqC-pSn6GIf31ikhQ,West Side Market Caf�,Cleveland,Diners,86,0.0,100.0,1.7,0.0,30.3
fuPhVyvwoMFNRqM4O1CkeQ,Aladdins' Bakery & Market,Cleveland,Mediterranean,46,0.0,100.0,1.3,0.0,30.3
g5zVkPRW2umfpCuDkan7tQ,The Fairmount,Cleveland Heights,Other,106,0.0,100.0,1.7,0.0,30.3
gUR2pWQKLPgMEm_R_aI_aw,Shooters On The Water,Cleveland,Seafood,122,0.0,100.0,1.7,0.0,30.3
J2T_kHY2Ioe1SdFgtZl4bA,Falafel Cafe,Cleveland,Mediterranean,88,0.0,100.0,1.5,0.0,30.3
L-Go77QiXmXsYt9dYULPww,S� Se�or Mexican Restaurant,Cleveland,Mexican,73,0.0,100.0,1.7,0.0,30.3
MHxce6ztMkbYHR8z3Z1q3g,Jack's Deli & Restaurant,Cleveland,Delis,114,0.0,100.0,1.6,0.0,30.3
mTcPc9rE43XrG05RQOjnWw,Zanzibar Soul Fusion,Cleveland,Other,41,0.0,100.0,1.5,0.0,30.3
n_UlhRNcv9dm04NbUNBrFQ,Currito - Burritos Without Borders,Cleveland,Mexican,57,0.0,100.0,1.4,0.0,30.3
PPCuGwbGA7HlhsGh8dbBsA,Taj India Palace,Cleveland,Indian,76,0.0,100.0,1.7,0.0,30.3
PubwGsZPO2N7QBekieMe9w,Don Ramon/Grand Fiesta Mexican Restaurant,Cleveland,Mexican,60,0.0,100.0,1.6,0.0,30.3
sRqlwSng2nHqTZuggX__Mw,Wilbert's Food & Music,Cleveland,Other,56,0.0,100.0,1.3,0.0,30.3
tWtuHpIFtQHMQq8q8DG3dA,Tea House Noodles,Cleveland,Chinese,86,0.0,100.0,1.6,0.0,30.3
TywR-VhheOAi0kGlKwclpg,Starbucks,Cleveland,Other,36,0.0,100.0,1.7,0.0,30.3
w-ch2_73sYc68VJrWAQL3g,Light Bistro,Cleveland,Other,78,0.0,100.0,1.4,0.0,30.3
WG3zvUktE1l3llwq3PPVVg,Nate's Deli & Restaurant,Cleveland,Middle Eastern,102,0.0,100.0,1.5,0.0,30.3
_Rw3EkxvI_tJIVbnT5jT2A,Caffe Roma,Cleveland,Italian,45,0.0,100.0,0.8,0.0,30.2
0ZPuFZMMYfRa3FRfjddCDA,The Spread Buffet,Cleveland,Other,34,0.0,100.0,1.1,0.0,30.2
1ForN8iXqYZ_dZZcOkvVeA,P.J.'s Luncheonette,Cleveland,Diners,36,0.0,100.0,0.9,0.0,30.2
3OCgpAos1gmS4rbWTIjmsQ,Liquid Planet,Cleveland,Sandwiches,72,0.0,100.0,1.1,0.0,30.2
3qLTly2tgDgBMVKyoK8O3w,Souper Market,Cleveland,Vegetarian,20,0.0,100.0,1.0,0.0,30.2
4qCYRklxSuTdN2z6dC2KeQ,5th Avenue Deli & Grill,Cleveland,Middle Eastern,48,0.0,100.0,1.0,0.0,30.2
4t6z1AT8qBfwaBm13d1GMA,PJ McIntyres Irish Pub,Cleveland,Other,50,0.0,100.0,1.2,0.0,30.2
7toYPf5ZAjCkEuwaMPtDwQ,Wah Fu Chinese Restaurant,Cleveland,Chinese,36,0.0,100.0,0.8,0.0,30.2
8FZftD3Y5jQ2R44EDBqhlA,Cafe Bon Appetit,Cleveland,Sandwiches,40,0.0,100.0,1.1,0.0,30.2
aAVydRJ23okd1AHi2AS4Mw,Cleveland Corned Beef,Cleveland,Delis,35,0.0,100.0,1.2,0.0,30.2
AdhoiyQD1sELIJNNE3npDQ,Kantina,Cleveland,Other,10,0.0,100.0,1.2,0.0,30.2
AI7sIJMnSYVX8aLxdPVyNA,East Coast Original Frozen Custard,Cleveland,Other,57,0.0,100.0,0.9,0.0,30.2
Aob9kNExpqUX5zD5culM9A,Eat At Joe's,Cleveland,Other,63,0.0,100.0,0.9,0.0,30.2
bchksAMD4CtI98_s_kJNpg,Taste,Cleveland Heights,Italian,62,0.0,100.0,1.1,0.0,30.2
bfF90MspMbqLWdcEU9JLcg,Wild Ginger China Bistro,Cleveland,Chinese,41,0.0,100.0,0.8,0.0,30.2
binymvD2QxETihoAmHOMSQ,Austin's Smokin' Steakhouse,Cleveland,Steakhouses,44,0.0,100.0,1.0,0.0,30.2
bjbegGikWzSgeVsOJdE22g,Chili Peppers,Cleveland,Mexican,55,0.0,100.0,1.2,0.0,30.2
blU2m56zkJc0SucLnbc4vw,Vine and Bean,Cleveland,Other,20,0.0,100.0,1.1,0.0,30.2
CBgcKcrbN7VSoofxCsCOBA,Mister Brisket,Cleveland,Sandwiches,62,0.0,100.0,1.0,0.0,30.2
doz0Zf14FVyj4f2knQO30A,Beckham's B&M,Cleveland,Barbeque,25,0.0,100.0,0.8,0.0,30.2
dQwjYLmQXb06CpMPIpm5-g,Villa Y Zapata,Cleveland,Mexican,67,0.0,100.0,1.1,0.0,30.2
ebgu1HjoE5S45U7oKyq4sw,Tick Tock Tavern,Cleveland,Barbeque,59,0.0,100.0,1.0,0.0,30.2
fjjDfZkChBWyCtbL7bvb2Q,Wexler's Tavern & Eatery,Cleveland,Burgers,38,0.0,100.0,1.0,0.0,30.2
g5XW5RiVhykjleeRrWlJ2g,Flying Cranes Cafe,Cleveland,Japanese,54,0.0,100.0,1.1,0.0,30.2
hcrjdLHf8UlR-D1-rTEkfw,Open Pitt Barb-B-Que,Cleveland,Barbeque,32,0.0,100.0,0.8,0.0,30.2
I2lDmQHDxnUKbEBJuJCW6w,Hunan East,Cleveland,Chinese,64,0.0,100.0,1.0,0.0,30.2
ioY2LiBWlkBxhfnJ3gbGLQ,B.A. Sweetie Candy Co,Cleveland,Other,28,0.0,100.0,0.9,0.0,30.2
iZfeH70e_YFLrURT8WuCYQ,El Rodeo,Cleveland,Mexican,47,0.0,100.0,1.1,0.0,30.2
j4170xdQJTwSvXFpsQzWtg,Rinc�n Criollo,Cleveland,Mexican,60,0.0,100.0,1.1,0.0,30.2
J5tGb5yI9-bMEohZrtf0SQ,Carmino's Pizza,Cleveland,Pizza,31,0.0,100.0,0.8,0.0,30.2
ja7zjowr6ymsVglQXZZ6BA,Great Taste Chinese Restaurant,Cleveland,Chinese,44,0.0,100.0,0.8,0.0,30.2
jRAUH6Ypc_2rX_nh3NMqcQ,Otani Japanese Restaurant,Cleveland,Japanese,75,0.0,100.0,1.2,0.0,30.2
kd4PwIjtWK2Lx0wUcovo5A,Marottas,Cleveland Heights,Pizza,58,0.0,100.0,1.0,0.0,30.2
MBpTl3womA9RRX4ruce78w,Chuppa's Marketplace,Cleveland,Other,43,0.0,100.0,0.9,0.0,30.2
MjAuGkgPjNLyMrN74_0YbA,Johnny's Downtown,Cleveland,Seafood,82,0.0,100.0,1.1,0.0,30.2
MTQot6uazWb2SV3WABa20Q,Lincoln Tap House,Cleveland,Other,44,0.0,100.0,0.8,0.0,30.2
myorOrDcPgwYwNXcFs0qBQ,Steve's Lunch,Cleveland,Other,33,0.0,100.0,0.8,0.0,30.2
Ni26IoQqRCy9iVeNV4vNFg,Frank's Falafel House,Cleveland,Mediterranean,42,0.0,100.0,0.9,0.0,30.2
nRmTDIs3Gbis9aX2-v1qcw,Shula's 2,Cleveland,Seafood,66,0.0,100.0,1.1,0.0,30.2
ntkeyTQNc735Dr-yjGd_IQ,Fired Up Taco Truck,Cleveland,Mexican,37,0.0,100.0,1.2,0.0,30.2
OiS6K4IvKwxIcWlKVywG_w,The Red Chimney,Cleveland,Other,35,0.0,100.0,0.8,0.0,30.2
p2OvNFiFKnRoWSRON4-lcA,Le Bistro Du Beaujolais,Cleveland,French,42,0.0,100.0,0.8,0.0,30.2
pM5OiwjOih7twp4mP0Rmhw,The Old Angle Tavern,Cleveland,Other,74,0.0,100.0,1.0,0.0,30.2
pUSXdML1e4ThKmiqa1Wvmw,The Tavern Company,Cleveland Heights,Other,56,0.0,100.0,0.8,0.0,30.2
q2sh3hHMs9RsEoWBo4CGEQ,Peet's Coffee & Tea,Cleveland,Other,8,0.0,100.0,0.9,0.0,30.2
qZZ8VU1Bk-xCruEAZNwm6A,Sainatos,Cleveland,Pizza,51,0.0,100.0,1.0,0.0,30.2
s1FNMwBVBmC7mLfYy77e8g,Spice Kitchen + Bar,Cleveland,Other,183,0.0,96.8,5.6,0.0,30.2
S1I7r5YvxcrTASv_t7cxAA,Radisson Hotel Cleveland-Gateway,Cleveland,Other,40,0.0,100.0,0.8,0.0,30.2
S1zlGFu9fi5-QmVpGqsKsA,Michaelangelo's,Cleveland,Italian,69,0.0,100.0,1.2,0.0,30.2
sACSJpBOQ4zPtjsv9trf4Q,J & J Czuchraj Meats,Cleveland,Other,38,0.0,100.0,0.8,0.0,30.2
sfd19Wo_7g2TwaoJmA9B8A,Hunan Coventry,Cleveland Heights,Chinese,64,0.0,100.0,0.9,0.0,30.2
UgWVMUWFrr6bt3NSfuKrGQ,Guys Pizza Co,Cleveland Heights,Pizza,50,0.0,100.0,1.2,0.0,30.2
USRXU4ASBAFSKhlk-KVrCw,Bo Loong,Cleveland,Chinese,66,0.0,100.0,0.9,0.0,30.2
vBMAdtlABJ1qb1ryaeOugA,Potbelly Sandwich Shop,Cleveland,Delis,35,0.0,100.0,1.1,0.0,30.2
VdnqeZXVfTRYB_ASLp8umg,Cafe Tandoor,Cleveland Heights,Indian,67,0.0,100.0,1.1,0.0,30.2
VMcUG1dw4ldI_ldA2lGyEA,Kan Zaman,Cleveland,Middle Eastern,44,0.0,100.0,0.8,0.0,30.2
W1hXfgnugKfVV1wDhko5lw,Flat Iron Caf�,Cleveland,Other,56,0.0,100.0,0.9,0.0,30.2
yqIVlkpQF_IdhVk1yTiIjw,Chipotle Mexican Grill,Cleveland,Fast Food,46,0.0,100.0,1.1,0.0,30.2
Yyag9ZHs0hZ7UIGFC04Vqw,Now That's Class Lounge,Cleveland,Other,46,0.0,100.0,0.8,0.0,30.2
Z2zynjhj6umPoHwLVfyOkw,Don Tequila Mexican Restaurant,Cleveland,Mexican,36,0.0,100.0,0.8,0.0,30.2
ZedwJdX1jQ7Hw1CzU3VDLw,La Pizzeria,Cleveland,Pizza,36,0.0,100.0,0.8,0.0,30.2
zKJ4KcZAfTNBIM7OvkVv3A,E 30th Street Cafe,Cleveland,Chinese,22,0.0,100.0,0.8,0.0,30.2
ZLanOvPw7BscWDo0yC8Ncg,Aladdin's Eatery,Cleveland,Middle Eastern,61,0.0,100.0,1.0,0.0,30.2
ZNB91myFoOYgyXoG5LQeGQ,Alfonso's Restaurante & Catering,Cleveland,Pizza,20,0.0,100.0,0.8,0.0,30.2
_rFhH-eSg6heHC9m0t-cBg,Characters Sports Bar and Grill,Cleveland,Burgers,19,0.0,100.0,0.6,0.0,30.1
_vDoNSl0w_v-dEkj8EorwA,Athens Pizzeria,Cleveland,Pizza,5,0.0,100.0,0.3,0.0,30.1
-Glmj_sxqCu0F3G62kFt1Q,Mazzone & Sons Bakery,Cleveland,Pizza,15,0.0,100.0,0.3,0.0,30.1
0iVIvJyTQfPCkBXII7kE8g,Kate's Fish,Cleveland,Other,17,0.0,100.0,0.4,0.0,30.1
0kyVqnMoflj3DLDecGK89Q,Taco Bell,Cleveland,Fast Food,16,0.0,100.0,0.6,0.0,30.1
0Wp67zZWeVm8BfLZkW72_w,Colonial Eatery,Cleveland,Middle Eastern,20,0.0,100.0,0.6,0.0,30.1
2RmL-l7oQQOKNshFMoKl4w,Asia Food Company,Cleveland,Japanese,27,0.0,100.0,0.6,0.0,30.1
3vZ8ECJuiEZIuDv7OQ2NHw,McDonald's,Cleveland,Fast Food,5,0.0,100.0,0.3,0.0,30.1
3z6gQVDbWuykm-a8R1YyJg,Captain Tony's Pizza,Cleveland,Pizza,17,0.0,100.0,0.3,0.0,30.1
42rDLL6vNJ5w66Ccj6a5XQ,McDonald's,Cleveland,Fast Food,13,0.0,100.0,0.4,0.0,30.1
4HVGgGI5rKvUJcaIV7ub7Q,Gionino's Pizzeria,Cleveland,Pizza,21,0.0,100.0,0.5,0.0,30.1
4P3zCFzQ1tT_7PLD73gMvQ,Back Stage Bar,Cleveland,Other,23,0.0,100.0,0.5,0.0,30.1
5jWBMCoR8aAXBM9RNyzzbw,Penn Station East Coast Subs,Cleveland,Pizza,5,0.0,100.0,0.3,0.0,30.1
63lBTe-rgqR_LcAOh_xuPQ,Primo Vino,Cleveland,Italian,25,0.0,100.0,0.4,0.0,30.1
6WdKJJbK6EC5R8PKGWMsng,Katherine's Family Restaurant,Cleveland,Other,12,0.0,100.0,0.4,0.0,30.1
7d3tmP0XIFdjdqQ6hBRA4Q,IL Bacio,Cleveland,Italian,36,0.0,100.0,0.7,0.0,30.1
7fiRVsawDX0vCpoMTbbxcQ,China House,Cleveland,Chinese,16,0.0,100.0,0.4,0.0,30.1
7LzhLKAwS7PHUvaPIW833A,Dominic's Santos,Cleveland,Pizza,27,0.0,100.0,0.5,0.0,30.1
7MZArBbssmSOt-IPpR8YWw,Bratenahl Kitchen,Cleveland,Other,12,0.0,100.0,0.5,0.0,30.1
8bnX7WyIZ_ZMoUNnkkFa_Q,Muse,Cleveland,Other,16,0.0,100.0,0.4,0.0,30.1
8hwbcCNUv345Kw1xfOCcWg,Brown Derby,Cleveland,Steakhouses,35,0.0,100.0,0.7,0.0,30.1
956ZfpypyxLLkRmlaHWGkA,Double Dragon Buffet,Cleveland,Chinese,21,0.0,100.0,0.5,0.0,30.1
9Dpk8U2-7bETxk6MSfCM-A,Smedley's Bar & Grill,Cleveland,Other,11,0.0,100.0,0.3,0.0,30.1
9Hcu2bRtzHtj4jhJB7By8g,McAlister's Deli,Cleveland,Delis,13,0.0,100.0,0.4,0.0,30.1
9lDpO8fpgZKd18yskBM3Zw,Diamond Men's Club,Cleveland,Steakhouses,13,0.0,100.0,0.3,0.0,30.1
a3WnfZ8Nw5kwP66AFT1oWg,Daves Supermarket,Cleveland,Other,26,0.0,100.0,0.4,0.0,30.1
A4GjSb9NhUKGUoyyGHNwYQ,Don G's Pizzeria,Cleveland,Pizza,16,0.0,100.0,0.3,0.0,30.1
aeeltEJtud69n6GPy5OATA,K & K Portage Market,Cleveland,Other,23,0.0,100.0,0.4,0.0,30.1
aOvEr1tluvkmwZjpzfxBAg,strEat Mobile Bistro,Cleveland,Other,17,0.0,100.0,0.5,0.0,30.1
Aqhy2ZYpEeJ61aIJH_iCxw,East China,Cleveland,Chinese,22,0.0,100.0,0.5,0.0,30.1
Aw4HH_bjUL8L_EU61mgQHg,Tasty Pizza,Cleveland,Pizza,33,0.0,100.0,0.5,0.0,30.1
B_ouKNVsEDrGHwec280CAg,Denny's,Cleveland,Diners,19,0.0,100.0,0.4,0.0,30.1
BAsu0FUkZvFOlrX083EFww,Dunkin' Donuts,Cleveland,Other,16,0.0,100.0,0.4,0.0,30.1
bbnpPdoRymorHJLY2owBiQ,The Market Cafe and Wine Bar,Cleveland,Other,28,0.0,100.0,0.5,0.0,30.1
BDXod8xpyhjzePWDgdVhtA,Costco Wholesale,Cleveland,Other,39,0.0,100.0,0.6,0.0,30.1
BhSBdVYkrRwijEWqI9yFXQ,The Mayfield Smoke Shop,Cleveland,Other,11,0.0,100.0,0.3,0.0,30.1
Bl630sBaHhqghapTUlCl1A,Donut Lab,Cleveland,Other,11,0.0,100.0,0.4,0.0,30.1
BMXeJPcosAxfLU-6baO_0Q,Pedros Pedros,Cleveland,Mexican,22,0.0,100.0,0.6,0.0,30.1
bo3z3-WUNblcRKRrWqeTAg,Starbucks,Cleveland,Other,26,0.0,100.0,0.5,0.0,30.1
bsme1TUoEQt5EDF7O6HBrg,Dragon Light,Cleveland,Chinese,13,0.0,100.0,0.3,0.0,30.1
BV_ywDG0HJYWyFFXG8ssvQ,Vera's Nationality Bakery,Cleveland,Other,11,0.0,100.0,0.4,0.0,30.1
D_ZVW8HKH7crSGqsg9KOoQ,Walmart Supercenter,Cleveland,Other,22,0.0,100.0,0.5,0.0,30.1
dC6OXF_4Bd9nDOSRc8VTGw,J. B. Mack Macaroni & Cheese Kitchen,Cleveland,Other,15,0.0,100.0,0.6,0.0,30.1
dCRjbHW3JCQwQMl6tvjWiw,Starbucks,Cleveland,Other,18,0.0,100.0,0.7,0.0,30.1
dcytjy24XmYrLtjTjgyEZA,Rocky's Pizza,Cleveland,Pizza,17,0.0,100.0,0.4,0.0,30.1
DDzUKZj7EU4mLNbRWwMoFw,Orale Contemporary Mexican Cuisine,Cleveland,Mexican,22,0.0,100.0,0.4,0.0,30.1
de2E6-wKURd0RLJaq8mrTg,Happy's Pizza,Cleveland,Pizza,14,0.0,100.0,0.6,0.0,30.1
dmu1wM0CRgeoTIUXFihU7Q,QDOBA Mexican Eats,Cleveland,Mexican,26,0.0,100.0,0.5,0.0,30.1
dPIQurJHDMt1KDlXolNFhw,Nautica Queen Cruise Ship,Cleveland,Other,27,0.0,100.0,0.7,0.0,30.1
dyJsv02GJgQZBl2Lh3vjjg,Addy's Restaurant,Cleveland,Diners,30,0.0,100.0,0.6,0.0,30.1
E_tvJL3lfmCTWAcq2js8Kw,A Touch of Italy,Cleveland,Pizza,18,0.0,100.0,0.3,0.0,30.1
fQP_jXrSoVKty5zxV3_Z6g,IHOP,Cleveland,Other,35,0.0,100.0,0.5,0.0,30.1
GatUelEiMO2tShY16y6Zrg,Applebee's,Cleveland,Burgers,9,0.0,100.0,0.3,0.0,30.1
ghNYyKxJsyvOBDFIh8YDDQ,Corky & Lenny's Express,Cleveland,Delis,5,0.0,100.0,0.6,0.0,30.1
hc009HrrwaVRjg0PTpy-_w,Zagara's Marketplace,Cleveland Heights,Other,31,0.0,100.0,0.4,0.0,30.1
hDd53j4_rrnNk9IQlCoJqA,Giant Eagle,Cleveland,Other,12,0.0,100.0,0.3,0.0,30.1
hh6OnxhTmfoyLo4prSNwBQ,Great Wall,Cleveland,Chinese,9,0.0,100.0,0.4,0.0,30.1
HPtTqirOkZArADg2FLr0eg,pizzaBOGO,Cleveland,Pizza,8,0.0,100.0,0.6,0.0,30.1
I5YF1kl3LCVM6nDeP8rUzQ,Papa Nick's Pizza & Pasta,Cleveland,Pizza,38,0.0,100.0,0.7,0.0,30.1
IjyNFVZPLVej9de31KGTxA,Godmother's Pizza & Subs,Cleveland,Pizza,10,0.0,100.0,0.3,0.0,30.1
IsM5JWNuN5dySu6f1vX1nA,Pizza Hut,Cleveland,Pizza,11,0.0,100.0,0.6,0.0,30.1
IWx4Yx1h-ramDGBNqNQ4MQ,Jimmy John's,Cleveland,Sandwiches,29,0.0,100.0,0.5,0.0,30.1
j4Ms51MtI4arORwaICNfCw,Ohio City Pizzeria,Cleveland,Pizza,34,0.0,100.0,0.5,0.0,30.1
JCdEeoMxmY-kBgIrjbvwRw,Panini's Warehouse District,Cleveland,Pizza,43,0.0,100.0,0.6,0.0,30.1
JftoP9r6TT98v83hfY9RZw,Mandarin House Chinese Restaurant,Cleveland,Chinese,29,0.0,100.0,0.5,0.0,30.1
jjBTBObnHrY87qQIMybjzQ,Blue Jade,Cleveland,Chinese,23,0.0,100.0,0.4,0.0,30.1
jNWyePugCw1J_O-s04JtIQ,Luna's Deli & Restaurant,Cleveland,Diners,7,0.0,100.0,0.6,0.0,30.1
Jzc4lKBUUNo_DD-9aQJsbQ,Dave's Cosmic Subs,Cleveland,Sandwiches,35,0.0,100.0,0.5,0.0,30.1
K6I_546GX7wxvI4CVZDrRQ,Taco Bell,Cleveland,Mexican,16,0.0,100.0,0.3,0.0,30.1
K74HYkFjYwhEpJt8HTOxnQ,Johnny's Bar,Cleveland,Italian,55,0.0,100.0,0.7,0.0,30.1
KJuWKVel8fO37UTtXkpZ_w,The Clubhouse,Cleveland,Other,27,0.0,100.0,0.5,0.0,30.1
LdRQcqRPZXCceiMUG_uvoA,Starbucks,Cleveland,Other,31,0.0,100.0,0.6,0.0,30.1
lHLNQnEHwCJ_CROCfCxEzw,Scotti's Italian Eatery,Cleveland,Pizza,44,0.0,100.0,0.6,0.0,30.1
M5tclVg-PSf-XbSRvUG-AA,ABC Taxi Company,Cleveland,Other,14,0.0,100.0,0.4,0.0,30.1
